barcode,product_name,editeur,supplier_name,total_qty_invoiced,list_price
9782813220318,"MOI AUSSI, JE MEDITE ! + CD",TREDANIEL,Interforum ,1.00,21.7
9782813220325,REMEDES NATUROPATHIQUES,TREDANIEL,Interforum ,2.00,12.91
9782813220332,280 HUILES ESSENTIELLES,TREDANIEL,Interforum ,2.00,10.74
9782813220714,ET SI ON ARRETAIT DE JUGER ? - LES AUTRES ET SOI-MEME,TREDANIEL,Interforum ,1.00,19.53
9782813220721,PRATIQUEZ L'AUTOMASSAGE - AUTOMASSAGE DETENTE & SANTE,TREDANIEL,Interforum ,1.00,19.53
9782813220745,HUILES ESSENTIELLES ASSOCIEES AUX POINTS D'ACUPUNCTURE - UNE SYNERGIE PUISSANTE ET EFFICACE POUR SOU,TREDANIEL,Interforum ,1.00,22.79
9782813220783,J'OUVRE LA PORTE A MA NOUVELLE VIE,TREDANIEL,Interforum ,1.00,19.53
9782813220790,"CRISTAUX ET RITUELS QUOTIDIENS - POUR LE NETTOYAGE ENERGETIQUE, L'ABONDANCE, L'AMOUR ET LA SANTE",TREDANIEL,Interforum ,1.00,26.04
9782813220806,L'HOMME QUI MURMURAIT A L'OREILLE DES ELEPHANTS,TREDANIEL,Interforum ,1.00,21.59
9782813220820,LE DEFI DES 100 JOURS - CAHIER D'EXERCICE POUR DEVELOPPER SON INTUITION,TREDANIEL,Interforum ,1.00,26.12
9782813220868,MEDICAL MEDIUM - LE FOIE - COMPRENDRE ET TRAITER LES TROUBLES DU FOIE,TREDANIEL,Interforum ,5.00,28.21
9782813221049,"LEONARD, MICHEL-ANGE & RAPHAEL - VIES DES ARTISTES DE LA RENAISSANCE",TREDANIEL,Interforum ,1.00,27.02
9782813221063,LE TRAITE DES CINQ ROUES,TREDANIEL,Interforum ,1.00,27.02
9782813221377,TROUVER SON CHEMIN DE VIE - LE CHEMIN DU BONHEUR,TREDANIEL,Interforum ,2.00,10.74
9782813221384,A LA RENCONTRE DE SON ENFANT INTERIEUR - A LA DECOUVERTE DE SON ETRE,TREDANIEL,Interforum ,2.00,10.74
9782813221421,MANUEL PRATIQUE DE PSYCHO-ENERGETIQUE CHINOISE - EXPLORER SON TEMPERAMENT PAR LE LANGAGE DU CORPS ET,TREDANIEL,Interforum ,1.00,28.21
